Name,Latitude,Longitude,Address1,Address2,Address3,Town,Region,PostalCode,CountryCode,Stage,Type,NumberOfAccessPoints,Accessibility,Protection,GovroamEnabled
Morley Leisure Centre,53.74596175,-1.605990907,26 Corporation Street,Morley,,Leeds,West Yorkshire,LS27 9LG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Morley Leisure Centre-Gym Only,53.74594668,-1.605898369,26 Corporation Street,Morley,,Leeds,West Yorkshire,LS27 9LG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Morley Library,53.7465575,-1.601139826,Commercial street,Morley,,Leeds,West Yorkshire,LS27 8HZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Morley Town Hall,53.74524523,-1.601563094,68 Queen street,Morley,,Leeds,West Yorkshire,LS27 9DY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Navigation House,53.77644458,-1.515478718,8 George Mann Road,,,Leeds,West Yorkshire,Ls10 1DJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Naburn Court SH,53.83344,-1.45526,Naburn Court,Whinmoor,,Leeds,West Yorkshire,LS14 2DF,GB,,,,,,
Northfields SH,53.74548,-1.50152,Northfields,Rothwell,,Leeds,West Yorkshire,LS26 0SL,GB,,,,,,
Oakwood Library,53.82715501,-1.503606004,1 Oakwood Lane,,,Leeds,West Yorkshire,LS8 2PZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Cross Green Community Centre,53.90610931,-1.689498133,Cross Green,Otley,,Leeds,West Yorkshire,LS21 1HD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Otley Childrens Centre,53.90579,-1.68891,"Cross Green Youth & Community Centre, Cross Green", Otley,,Leeds,West Yorkshire,LS21 1HD,GB,,,,,,
Otley Library and Tourist Information Centre,53.9049241,-1.691531604,Nelson Street,Otley,,Leeds,West Yorkshire,LS21 1EZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Prince Phillip Community Centre,53.81887323,-1.542593294,Scott Hall Avenue,,,Leeds,West Yorkshire,LS7 2HJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Seacroft Recycling Centre,53.82761848,-1.463587287,Limewood Road,Seacroft,,Leeds,West Yorkshire,LS14 1LU,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Phil May Court,53.79201,-1.57414,Phil May Court,Armley,,Leeds,West Yorkshire,LS12 1YW,GB,,,,,,
Pudsey Health Centre,53.79486554,-1.664026064,18 Mulberry Street,Pudsey,,Leeds,West Yorkshire,LS28 7XP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Pudsey Civic Hall,53.80748276,-1.681327982,Dawsons Corner,Pudsey,,Leeds,West Yorkshire,LS28 5TA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Pudsey Leisure Centre,53.79543145,-1.662248048,Market Place,Pudsey,,Leeds,West Yorkshire,LS28 7BE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Pudsey Library,53.79579503,-1.663950358,Church Lane,Pudsey,,Leeds,West Yorkshire,LS28 7TY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Pudsey Community Hub,53.79658668,-1.662488892,Robin Lane,Pudsey,,Leeds,West Yorkshire,LS28 7TY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Quarry Mount Children's Centre,53.81587799,-1.554256148,Pennington Street,,,Leeds,West Yorkshire,LS6 2JP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Queenswood Education Centre,53.82273022,-1.592957204,Foxcroft Close,,,Leeds,West Yorkshire,LS6 3NT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Queensview,53.82138,-1.46199,Seacroft Crescent,Seacroft,,Leeds,West Yorkshire,LS14 6PH,GB,,,,,,
